"id","title","file","uploaded_at"
"238","Radical Acceptance_ Embracing Your Life With the Heart of a Buddha ( PDFDrive )","documents/Radical_Acceptance__Embracing_Your_Life_With_the_Heart_of_a_Buddha__PDFDrive_.pdf","2024-12-08 13:21:24.769257+05"
"239","Self-Compassion ( PDFDrive )","documents/Self-Compassion__PDFDrive_.pdf","2024-12-08 13:21:24.772282+05"
"240","Subconscious Mind Power How to Use the Hidden Power of Your Subconscious Mind ( PDFDrive )","documents/Subconscious_Mind_Power_How_to_Use_the_Hidden_Power_of_Your_Subconscious_Mind__PDFDrive_.pdf","2024-12-08 13:21:24.774426+05"
"241","The Gifts of Imperfection (Brené Brown) (Z-Library)","documents/The_Gifts_of_Imperfection_Brené_Brown_Z-Library.pdf","2024-12-08 13:21:24.776504+05"
"242","The Power of Self-Esteem ( PDFDrive )","documents/The_Power_of_Self-Esteem__PDFDrive_.pdf","2024-12-08 13:21:24.781091+05"
"243","You Are a Badass_ How to Stop Doubting Your Greatness and Start Living an Awesome Life ( PDFDrive )","documents/You_Are_a_Badass__How_to_Stop_Doubting_Your_Greatness_and_Start_Living_an_Awesome_Life__PDFDrive_.pdf","2024-12-08 13:21:24.784106+05"
"244","Antifragile_ Things That Gain from Disorder ( PDFDrive )","documents/Antifragile__Things_That_Gain_from_Disorder__PDFDrive_.pdf","2024-12-08 13:21:24.790928+05"
"245","Anxiety & Depression Workbook ( PDFDrive )","documents/Anxiety__Depression_Workbook__PDFDrive_.pdf","2024-12-08 13:21:24.798447+05"
"246","Be Here Now ( PDFDrive )","documents/Be_Here_Now__PDFDrive_.pdf","2024-12-08 13:21:24.811479+05"
"247","Burnout_ The Secret to Unlocking the Stress Cycle ( PDFDrive )","documents/Burnout__The_Secret_to_Unlocking_the_Stress_Cycle__PDFDrive_.pdf","2024-12-08 13:21:24.81651+05"
"248","Calm the F_ck Down_ How to Control What You Can and Accept What You Can’t So You Can Stop Freaking Out and Get On With Your Life ( PDFDrive ) (1)","documents/Calm_the_F_ck_Down__How_to_Control_What_You_Can_and_Accept_What_You_Cant_So_You_Can_Stop_Freaking_Out_and_Get_On_With_Your_Life__PDFDrive__1.pdf","2024-12-08 13:21:24.821118+05"
"249","Calm the F_ck Down_ How to Control What You Can and Accept What You Can’t So You Can Stop Freaking Out and Get On With Your Life ( PDFDrive )","documents/Calm_the_F_ck_Down__How_to_Control_What_You_Can_and_Accept_What_You_Cant_So_You_Can_Stop_Freaking_Out_and_Get_On_With_Your_Life__PDFDrive_.pdf","2024-12-08 13:21:24.82552+05"
"250","Full Catastrophe Living ( PDFDrive )","documents/Full_Catastrophe_Living__PDFDrive_.pdf","2024-12-08 13:21:24.830103+05"
"251","Healing Back Pain_ The Mind-Body Connection ( PDFDrive )","documents/Healing_Back_Pain__The_Mind-Body_Connection__PDFDrive_.pdf","2024-12-08 13:21:24.848383+05"
"252","Laser-Sharp Focus. A No-Fluff Guide to Improved Concentration, Maximised Productivity and Fast-Track to Success ( PDFDrive )","documents/Laser-Sharp_Focus._A_No-Fluff_Guide_to_Improved_Concentration_Maximised_Productivity_and_Fast-Track_to_Success__PDFDrive_.pdf","2024-12-08 13:21:24.850404+05"
"253","Light on Yoga_ The Bible of Modern Yoga ( PDFDrive )","documents/Light_on_Yoga__The_Bible_of_Modern_Yoga__PDFDrive_.pdf","2024-12-08 13:21:24.860951+05"
"254","Practicing the Power of Now_ Essential Teachings, Meditations, and Exercises from The Power of Now ( PDFDrive )","documents/Practicing_the_Power_of_Now__Essential_Teachings_Meditations_and_Exercises_from_The_Power_of_Now__PDFDrive_.pdf","2024-12-08 13:21:24.870101+05"
"255","Present Over Perfect_ Leaving Behind Frantic for a Simpler, More Soulful Way of Living ( PDFDrive )","documents/Present_Over_Perfect__Leaving_Behind_Frantic_for_a_Simpler_More_Soulful_Way_of_Living__PDFDrive_.pdf","2024-12-08 13:21:24.873114+05"
"256","ram dass ( PDFDrive )","documents/ram_dass__PDFDrive_.pdf","2024-12-08 13:21:24.877128+05"
"257","Real Happiness at Work (Sharon Salzberg) (Z-Library)","documents/Real_Happiness_at_Work_Sharon_Salzberg_Z-Library.pdf","2024-12-08 13:21:24.880406+05"
"258","The Mindful Way Workbook_ An 8-Week Program to Free Yourself from Depression and Emotional Distress ( PDFDrive )","documents/The_Mindful_Way_Workbook__An_8-Week_Program_to_Free_Yourself_from_Depression_and_Emotional_Distress__PDFDrive_.pdf","2024-12-08 13:21:24.888175+05"
"259","The Willpower Instinct_ How Self-Control Works, Why It Matters, and What You Can Do To Get More ... ( PDFDrive )","documents/The_Willpower_Instinct__How_Self-Control_Works_Why_It_Matters_and_What_You_Can_Do_To_Get_More_...__PDFDrive_.pdf","2024-12-08 13:21:24.891534+05"
"260","Unstoppable_ Using the power of focus to take action and achieve your goals ( PDFDrive )","documents/Unstoppable__Using_the_power_of_focus_to_take_action_and_achieve_your_goals__PDFDrive_.pdf","2024-12-08 13:21:24.893558+05"
"261","why zebras don't get ulcers ( PDFDrive )","documents/why_zebras_dont_get_ulcers__PDFDrive_.pdf","2024-12-08 13:21:24.900539+05"
"262","Why Zebras Don't Get Ulcers_ The Acclaimed Guide to Stress, Stress-Related Diseases, and Coping   ( PDFDrive )","documents/Why_Zebras_Dont_Get_Ulcers__The_Acclaimed_Guide_to_Stress_Stress-Related_Diseases_and_Coping____PDFDrive_.pdf","2024-12-08 13:21:24.906561+05"
"263","An introduction to cyberpsychology ( PDFDrive )","documents/An_introduction_to_cyberpsychology__PDFDrive_.pdf","2024-12-08 13:21:24.912136+05"
"264","Cyberpsychology_ The Study of Individuals, Society and Digital Technologies ( PDFDrive )","documents/Cyberpsychology__The_Study_of_Individuals_Society_and_Digital_Technologies__PDFDrive_.pdf","2024-12-08 13:21:24.916327+05"
"265","Digital Minimalism choosing a focused life in a noisy world (Cal Newport) (Z-Library)","documents/Digital_Minimalism_choosing_a_focused_life_in_a_noisy_world_Cal_Newport_Z-Library.pdf","2024-12-08 13:21:24.920864+05"
"266","How to Break Up with Your Phone ( PDFDrive )","documents/How_to_Break_Up_with_Your_Phone__PDFDrive_.pdf","2024-12-08 13:21:24.92434+05"
"267","Reclaiming Conversation The Power of Talk in a Digital Age ( PDFDrive )","documents/Reclaiming_Conversation_The_Power_of_Talk_in_a_Digital_Age__PDFDrive_.pdf","2024-12-08 13:21:24.92634+05"
"268","You Are Not a Gadget ( PDFDrive )","documents/You_Are_Not_a_Gadget__PDFDrive_.pdf","2024-12-08 13:21:24.928844+05"
"269","A Grief Observed by CS Lewis ( PDFDrive )","documents/A_Grief_Observed_by_CS_Lewis__PDFDrive_.pdf","2024-12-08 13:21:24.930975+05"
"270","A Man Called Ove ( PDFDrive )","documents/A_Man_Called_Ove__PDFDrive_.pdf","2024-12-08 13:21:24.934771+05"
